Zones Résidentielles,Niveau de risque (20-40mm),Niveau de risque (40-70mm),Niveau de risque (70-100mm),Niveau de risque (>100mm)
Douar Mastour,4,5,5,5
Quartiers Fatouma,3,4,5,5
Quartier populaire 1/2/3,3,4,5,5
Bourguiba,3,4,5,5
El Achaichia,3,4,4,5
Ard El Fawha,3,4,4,5
Quartier Hedi Khalil,3,4,5,5
Quartier Hachad,3,3,4,5
El Hay El Kabir,3,4,4,5
Quartier Ennozha,3,3,4,5
Quartier El Feissalia,3,3,4,5
Rue Omar Ibn Abdelaziz,2,3,3,4
Rue du 18 Janvier (centre-ville),2,3,3,4
Bousalem Nord,3,4,4,5
Bousalem Sud,3,4,4,5
Romaini,3,3,4,5
Brahem,3,3,4,5
El Marja,3,3,4,5
Bir El Akhdar,3,3,4,5
El Kodia,3,3,4,5
El Mangouche,3,3,4,5
Sidi Abid,3,3,4,5
